age,gender,review,education,purchased
58,male,good,School,no
25,female,average,School,no
19,male,poor,PG,yes
65,female,good,School,yes
35,male,average,School,no
33,male,poor,PG,no
32,female,average,UG,yes
26,female,good,UG,yes
65,female,poor,PG,yes
24,male,average,School,no
61,male,average,UG,yes
65,male,good,UG,yes
52,male,good,UG,yes
23,female,good,PG,yes
55,female,poor,UG,no
45,female,poor,UG,no
20,male,good,PG,no
19,female,poor,PG,yes
23,female,average,PG,yes
31,female,good,UG,no
32,female,poor,UG,no
50,male,poor,PG,no
56,male,good,School,no
19,female,good,PG,yes
53,male,poor,UG,yes
30,female,poor,UG,no
63,male,good,PG,no
59,male,poor,School,no
62,female,average,School,no
52,female,poor,UG,yes
44,female,average,School,yes
32,female,average,School,yes
46,male,poor,School,yes
55,female,poor,PG,no
35,male,good,UG,no
18,female,average,PG,yes
28,male,poor,School,no
62,female,average,UG,no
45,male,good,PG,no
39,male,average,UG,yes
35,female,poor,PG,no
27,female,poor,UG,no
31,male,average,PG,yes
39,female,good,School,yes
24,female,average,PG,yes
23,male,poor,School,yes
42,female,good,PG,no
24,female,average,School,yes
40,female,average,School,no
40,female,good,PG,yes
56,female,average,PG,no
34,female,good,UG,no
20,male,good,PG,yes
64,male,good,UG,no
47,female,good,PG,no
52,female,average,UG,yes
25,male,average,School,yes
42,female,poor,PG,no
23,female,good,School,yes
53,male,poor,PG,yes
36,female,poor,UG,yes
58,female,average,PG,yes
57,male,average,UG,yes
41,female,average,UG,no
54,female,average,PG,yes
30,female,poor,School,no
63,female,good,PG,no
22,female,poor,School,no
20,male,poor,UG,yes
60,female,average,PG,yes
32,male,good,PG,yes
36,male,poor,School,no
23,female,average,PG,no
32,female,average,UG,no
24,male,good,PG,no
42,male,poor,UG,no
35,female,good,UG,yes
47,male,good,School,yes
58,male,good,School,no
41,male,poor,UG,yes
28,male,average,School,no
41,male,good,School,no
40,male,good,UG,no
31,female,poor,PG,yes
60,male,poor,PG,yes
35,female,average,School,yes
62,female,average,School,no
61,male,good,UG,yes
59,female,good,UG,yes
22,female,poor,UG,yes
56,female,good,UG,no
58,male,poor,PG,yes
28,male,good,UG,yes
52,male,poor,UG,no
64,male,good,School,yes
33,female,good,UG,no
28,male,good,School,no
47,male,average,UG,yes
42,female,good,UG,no
35,male,good,School,yes
58,male,average,PG,no
62,male,average,PG,yes
53,female,good,School,no
32,male,poor,School,yes
61,female,good,PG,yes
38,female,poor,School,yes
21,female,good,School,yes
32,female,poor,School,no
20,female,good,School,yes
38,male,average,School,yes
43,female,poor,PG,yes
35,female,good,School,yes
22,female,good,PG,no
31,male,average,UG,yes
54,female,poor,PG,no
63,female,poor,UG,yes
38,male,poor,PG,no
31,female,average,PG,no
59,female,poor,School,no
49,male,poor,PG,no
43,female,good,PG,yes
59,male,good,School,no
47,female,average,UG,no
27,female,poor,PG,no
34,female,good,School,yes
26,male,average,UG,yes
33,male,poor,PG,yes
65,male,average,PG,no
53,male,poor,PG,no
52,female,good,UG,no
34,male,poor,UG,no
65,male,poor,PG,yes
55,male,poor,PG,no
45,female,poor,UG,yes
55,female,average,School,no
43,female,poor,UG,no
