age,salary,purchased
27,63738,1
44,110207,1
23,103250,1
26,101523,0
51,90597,1
62,143578,1
47,91964,1
60,91276,0
27,76836,1
30,112491,0
46,57429,1
38,136120,1
60,30553,1
36,54578,0
35,83398,1
64,57469,1
31,38648,1
50,59897,1
19,99124,0
42,39197,0
30,58218,0
34,28811,0
56,123605,1
29,85531,0
52,80286,1
28,114766,0
40,47968,1
59,102351,1
25,103096,0
25,65529,1
49,110737,1
25,39659,0
62,88061,1
43,108826,1
36,66515,1
22,142250,1
34,119920,1
32,113015,1
52,40945,1
33,59976,0
45,75267,1
37,68391,1
19,64348,0
62,72686,1
51,31801,1
23,65994,1
36,103302,1
23,109999,1
29,126234,0
31,92754,1
51,101483,0
65,80048,1
44,28557,1
22,116424,1
54,82382,1
23,75324,1
65,125114,1
19,77098,0
32,118684,1
65,110208,1
48,54478,0
22,58168,1
42,123165,1
60,85821,1
41,25044,0
25,107223,1
57,25083,0
24,112620,0
30,41652,1
42,64514,1
61,114819,1
60,70334,1
25,109095,0
32,116451,1
21,148511,1
50,112910,1
44,45621,1
18,140042,1
63,41375,0
40,25191,1
42,74740,1
60,91530,1
55,136835,1
54,24573,1
64,99269,1
61,33613,1
40,141145,1
31,89215,1
29,115525,1
52,82383,1
26,132089,1
59,148283,1
25,77882,1
33,92630,1
61,62650,1
54,60317,1
43,125732,1
64,22554,0
41,64457,0
36,86111,1
44,125769,1
30,97220,1
64,56280,1
25,100308,1
44,114839,0
40,113791,1
41,126648,1
52,78942,0
46,36986,1
65,43097,1
64,127448,1
21,94616,1
59,125512,1
25,38347,1
37,66719,0
22,21537,0
57,134065,0
41,61593,1
60,31911,1
26,97027,1
55,47917,1
56,57497,0
45,71935,1
59,91029,1
25,34518,1
46,148211,1
57,24750,0
46,90646,0
35,24712,1
18,135407,1
59,62038,1
36,98914,1
45,145271,1
65,148830,1
46,20478,1
20,78345,0
61,128831,1
63,94570,1
56,126727,1
64,56433,1
36,70973,0
59,36188,1
63,131762,1
22,52240,1
54,51018,1
42,37607,1
35,92714,1
55,97281,1
23,98036,1
35,42216,1
19,103873,0
27,38340,0
33,39880,0
63,126559,1
25,59205,0
23,115025,1
61,85420,1
43,24158,1
23,139157,1
62,68677,1
50,144993,1
46,53118,1
25,36402,1
23,37165,0
48,70304,1
30,51357,1
38,105991,1
59,94591,1
36,130663,1
41,141984,0
25,45996,1
44,54895,1
26,112261,0
35,106963,1
54,121509,1
63,39893,0
40,107016,1
36,119402,1
20,137579,1
30,73805,1
58,80574,1
25,31977,1
45,126416,0
63,78277,1
36,56507,1
41,59943,1
28,52072,0
25,133744,0
47,68960,1
63,77273,1
39,126515,1
27,118313,1
33,95302,1
39,43861,1
45,123747,1
60,34903,1
55,103683,0
28,22890,1
19,124326,1
64,37260,1
54,118603,1
44,53714,1
39,52859,0
26,107357,1
57,95965,1
34,54847,0
29,93294,1
26,138819,1
40,88589,1
64,73114,1
32,146339,1
31,82033,0
21,144211,0
45,68245,1
35,21996,0
38,117738,1
19,29581,0
34,38383,0
50,93746,1
28,25584,0
55,146415,0
40,21623,0
19,104929,1
33,115158,1
54,128227,0
27,130211,1
48,42235,0
40,120661,1
57,29472,0
37,39108,0
38,58382,0
39,141184,1
57,105138,0
50,59891,1
42,20577,0
43,104626,0
32,140516,1
50,37135,1
56,140775,1
43,95751,1
19,24334,0
41,40730,0
59,78482,1
21,115883,1
29,122484,0
62,140588,1
40,53706,1
47,88985,1
48,136497,0
53,119835,0
46,66100,1
22,49714,1
55,87839,1
42,47260,0
54,148769,0
31,51526,1
51,40715,1
64,125371,1
35,112269,0
61,84172,1
59,24926,1
32,142682,1
32,119527,1
60,76955,1
58,46560,1
43,70245,1
47,47693,1
22,118134,1
56,56349,1
44,115025,1
49,106138,1
45,67455,1
39,51840,0
49,103727,1
57,131431,1
55,95165,1
20,98833,1
48,141138,1
32,86925,1
52,76664,0
18,40826,0
63,37888,1
61,36978,1
27,66054,0
33,51038,1
53,50398,1
37,56846,1
55,107036,1
59,60975,1
29,64247,1
30,20139,0
64,81916,1
62,91268,1
22,95682,1
64,70860,1
46,55794,1
19,144248,0
41,136677,0
30,144421,1
60,94581,1
35,126512,1
60,119094,1
59,59472,1
55,69762,1
25,137158,1
63,138279,1
45,52522,1
33,137825,1
40,137476,1
34,57496,1
63,56967,1
22,77839,0
40,137434,1
65,25089,1
55,103930,1
52,148702,1
60,72760,1
23,82247,0
31,40788,1
28,61887,1
62,109673,1
61,50117,1
57,77004,1
38,31574,1
19,113212,0
52,62122,1
35,49343,0
26,33100,1
19,28215,0
35,98689,1
53,126748,1
41,60649,1
42,23402,1
57,83515,1
51,78150,0
63,86469,1
29,139760,1
57,78717,1
39,139575,0
48,54517,0
44,37825,1
44,48600,1
51,70708,1
62,114035,1
45,114570,1
35,144745,1
26,103042,1
26,119935,1
30,34419,0
51,81864,1
43,101505,1
27,143561,1
22,103365,0
28,90894,1
38,136305,0
30,22614,0
34,38474,0
58,96085,1
20,64815,0
29,27780,1
29,42153,0
41,61099,0
31,123133,0
36,90932,1
51,49102,1
40,45904,1
64,144519,1
59,53285,1
44,142370,1
24,144265,1
42,68515,1
29,34686,0
28,33559,1
37,149934,1
34,111620,1
41,24115,0
59,46398,0
55,143404,0
42,129079,1
60,88964,1
31,75357,1
65,137418,1
23,33780,1
45,53665,0
29,52666,1
19,32640,0
27,25192,0
50,110711,1
41,49753,0
48,78075,1
63,60638,1
23,54274,1
49,77324,0
37,44688,0
49,111349,1
31,29429,1
35,20618,0
62,97903,1
23,68119,1
60,129853,1
