age,salary,purchased
56,52841,0
46,85640,1
32,76476,1
60,59811,1
25,86180,0
38,127856,0
56,83450,1
36,126888,0
40,125448,1
28,29397,0
28,146800,0
41,134180,0
53,81234,0
57,54954,1
41,94459,1
20,74163,1
39,66934,0
19,69098,1
41,20486,1
47,101900,1
55,141020,0
19,117795,0
38,102508,0
50,133324,1
29,75566,1
39,42192,1
42,16062,0
44,99076,0
59,104780,1
45,36689,0
33,26174,0
32,103461,0
20,141174,0
54,118033,1
24,24348,0
38,53102,0
26,89460,0
56,117634,0
35,104930,1
21,21801,1
42,118150,0
31,16542,0
26,36677,0
43,54081,0
19,108105,0
37,34065,0
45,103092,1
24,69693,0
25,41962,1
52,43295,1
31,28807,0
34,147396,1
53,106267,1
57,34870,1
21,41790,1
19,133874,1
23,40289,1
59,30485,0
21,59482,1
46,101188,1
35,19748,1
43,18709,0
51,138961,1
27,45355,0
53,57918,1
31,67224,0
48,54298,0
32,95219,1
25,76629,1
31,81040,0
40,43016,1
57,38960,0
38,48591,0
33,118333,0
35,129821,0
41,51395,0
43,144695,1
42,49620,0
58,143148,0
46,35559,1
32,108396,0
18,36732,1
42,106362,1
24,28843,1
26,129065,0
41,86726,0
18,32640,0
25,67528,1
41,53413,0
28,67638,1
34,125133,0
25,121357,1
52,93859,0
52,114657,0
50,26023,0
22,36447,1
59,140899,1
56,38959,0
58,81203,0
45,134156,1
24,24337,1
26,61427,1
25,76529,0
29,117023,1
51,99665,0
50,120787,1
40,48307,0
41,142016,1
54,19835,1
52,35159,1
57,136790,1
39,120616,1
44,93752,0
52,70284,1
18,72043,1
52,112007,1
54,97844,0
31,42532,1
20,137402,0
18,133012,1
22,71178,1
43,64407,0
31,65990,1
56,144473,0
44,73141,0
26,71570,1
32,16015,0
32,76813,1
43,42712,1
59,115497,0
30,127816,0
49,143778,0
56,77292,0
49,38833,1
21,35309,1
47,21970,0
54,87474,1
40,61540,1
56,33017,1
32,90880,1
60,120570,0
46,23702,0
53,146456,1
30,15404,0
49,27763,0
24,113142,0
39,95642,1
45,65612,1
19,38574,1
59,38524,0
23,25916,1
45,19809,1
45,136288,0
37,53765,1
47,60106,1
28,68932,0
45,72091,0
42,36949,0
56,52744,1
50,123319,1
18,107193,1
44,51187,0
30,139454,0
58,29489,1
20,76877,1
56,64922,0
23,109074,0
25,52131,0
44,130765,0
26,88963,1
54,121884,0
50,140917,1
59,39285,1
41,52626,1
32,34198,0
49,30254,0
49,59238,0
41,16252,0
58,54764,1
29,92709,0
56,68682,0
19,74494,1
20,96317,0
54,80215,1
34,93587,1
19,21949,1
19,70393,1
45,40934,1
40,90745,1
54,109456,1
49,68413,1
50,112239,0
18,57318,0
36,85390,0
19,58088,0
43,118196,1
49,70479,0
23,34963,1
49,70123,0
