age,salary,purchased
37,350000,0
33,275000,0
63,495000,1
48,320000,0
21,430000,1
57,550000,1
60,95000,1
41,365000,1
64,405000,1
25,395000,1
21,325000,1
60,280000,1
50,495000,1
49,230000,1
60,110000,1
54,420000,1
61,320000,1
65,275000,1
48,505000,0
53,390000,0
45,225000,1
19,50000,0
27,160000,1
58,175000,1
29,550000,1
26,305000,1
41,65000,0
31,200000,1
46,270000,0
65,190000,1
55,195000,1
35,470000,0
38,40000,1
35,165000,1
46,250000,1
25,410000,1
34,200000,0
51,475000,1
61,550000,1
52,70000,0
44,480000,1
55,385000,1
63,475000,1
40,150000,1
48,440000,0
54,80000,1
27,240000,0
34,450000,0
51,540000,1
56,135000,0
27,260000,1
61,120000,0
30,530000,1
61,310000,1
46,480000,1
34,430000,0
60,520000,1
37,480000,1
48,375000,1
62,405000,1
37,285000,1
51,505000,1
19,245000,1
22,515000,1
58,260000,1
54,90000,1
25,125000,0
24,160000,1
27,420000,0
39,280000,1
62,515000,1
53,235000,1
45,450000,1
31,195000,1
21,240000,0
64,435000,1
32,280000,1
54,495000,1
44,80000,1
21,445000,1
49,495000,0
65,505000,0
19,25000,0
35,245000,1
39,325000,0
44,30000,1
29,390000,1
52,70000,1
35,245000,1
54,550000,1
46,490000,1
33,275000,1
61,140000,1
63,95000,0
57,205000,0
48,255000,1
56,100000,0
60,535000,1
40,105000,1
18,490000,1
38,190000,1
40,255000,1
22,35000,0
41,510000,1
18,185000,0
28,135000,0
59,375000,0
20,135000,0
57,415000,1
52,175000,1
29,340000,0
55,190000,0
24,100000,0
61,210000,1
48,355000,1
56,470000,1
57,335000,0
59,65000,1
38,40000,0
36,60000,0
55,400000,1
33,550000,1
29,445000,1
24,270000,1
48,280000,0
36,50000,0
39,405000,1
35,410000,0
54,345000,1
28,550000,1
40,540000,1
59,465000,1
63,50000,1
46,540000,1
20,240000,1
46,205000,1
45,250000,1
20,260000,0
62,65000,0
54,520000,0
32,465000,1
50,440000,1
45,215000,0
31,75000,1
58,455000,1
25,280000,0
20,195000,1
65,530000,1
38,75000,0
65,270000,0
45,25000,1
47,70000,1
47,250000,1
28,205000,0
58,125000,1
24,55000,0
25,165000,1
21,145000,0
62,310000,1
21,430000,1
22,275000,1
38,495000,1
21,235000,1
34,165000,0
23,410000,1
59,55000,1
59,280000,1
45,300000,1
49,115000,1
18,75000,1
43,125000,1
46,245000,0
22,85000,0
37,510000,1
39,415000,1
65,345000,1
43,475000,1
33,195000,0
19,535000,1
35,155000,0
40,170000,0
40,210000,1
42,295000,1
65,270000,1
41,470000,1
39,495000,0
57,135000,1
20,530000,1
38,270000,1
63,130000,1
31,195000,1
63,230000,1
35,400000,1
63,410000,0
21,535000,1
18,490000,1
38,235000,1
22,200000,1
44,450000,1
47,125000,0
31,35000,0
21,215000,0
56,230000,1
45,80000,1
48,485000,1
40,315000,1
65,85000,1
34,385000,1
21,255000,1
27,360000,1
59,90000,1
22,425000,1
22,210000,1
32,110000,1
49,35000,1
44,465000,1
60,485000,1
26,325000,1
47,230000,1
38,90000,1
43,175000,1
59,545000,1
41,120000,1
55,85000,1
47,525000,1
52,190000,1
59,490000,1
44,50000,0
44,130000,1
30,35000,1
39,400000,1
44,120000,1
60,315000,1
41,175000,0
20,140000,1
65,475000,1
62,380000,1
42,200000,0
52,95000,0
33,165000,0
54,475000,0
65,460000,1
61,480000,1
23,55000,0
29,310000,0
18,145000,0
51,240000,1
62,190000,1
19,175000,1
24,480000,0
47,430000,0
63,165000,1
57,150000,1
45,35000,1
38,325000,1
47,395000,1
27,545000,1
63,150000,1
57,545000,1
44,435000,0
33,215000,0
25,295000,0
56,240000,1
35,460000,1
58,225000,0
33,105000,1
38,395000,1
46,55000,1
63,40000,0
38,525000,1
53,225000,1
40,170000,1
22,225000,0
30,390000,0
54,305000,1
42,450000,1
28,505000,1
40,425000,1
47,140000,1
24,135000,0
59,430000,1
39,375000,0
53,460000,1
57,400000,1
36,285000,1
50,240000,1
35,165000,1
44,240000,1
49,250000,1
41,215000,0
47,55000,1
35,425000,1
55,260000,1
64,60000,1
50,210000,1
32,495000,1
19,245000,1
38,255000,1
51,215000,1
24,70000,0
65,485000,0
63,95000,1
33,375000,1
42,480000,0
46,255000,0
54,465000,1
26,30000,0
60,260000,1
43,380000,0
41,170000,0
34,380000,1
38,510000,0
32,55000,0
61,305000,1
47,480000,0
55,170000,1
27,250000,0
62,440000,1
43,510000,1
34,215000,1
23,245000,1
59,265000,0
21,40000,1
22,210000,0
47,60000,1
51,225000,1
29,170000,0
20,145000,1
42,260000,1
52,25000,1
20,360000,0
21,480000,1
38,135000,1
59,115000,0
53,530000,1
23,405000,1
50,415000,0
62,335000,1
22,370000,1
25,445000,1
49,215000,1
25,170000,0
23,185000,0
47,135000,0
40,40000,1
46,255000,1
59,540000,0
19,255000,0
59,470000,1
48,440000,1
30,40000,0
53,470000,1
52,270000,0
40,480000,1
23,380000,1
40,275000,1
49,205000,1
54,535000,1
55,35000,0
32,150000,1
45,245000,0
40,120000,0
29,375000,1
32,125000,1
65,530000,1
50,250000,1
62,350000,1
21,235000,1
57,300000,1
29,475000,0
51,180000,1
65,115000,1
38,480000,1
24,460000,1
65,350000,1
55,505000,1
44,35000,0
55,170000,1
57,375000,0
50,290000,1
57,140000,1
47,75000,1
27,390000,1
61,75000,1
46,430000,1
20,240000,1
61,105000,1
32,75000,1
56,130000,1
41,545000,1
58,205000,1
31,205000,1
62,180000,1
47,285000,1
43,235000,1
58,420000,1
44,95000,0
44,440000,1
30,25000,0
64,180000,1
